客户号,客户资金,入金,出金,市值,当日盈亏,总资产,交易日,
307000051388,14803003.53,0.00,0.00,1382323.80,14571.41,16353327.33,20260921,
307000051388,15032509.72,0.00,0.00,1306246.20,20283.09,16338755.92,20260918,
307000051388,14830484.23,0.00,0.00,1276988.60,-9038.22,16318472.83,20260917,
307000051388,14818947.85,0.00,0.00,1308563.20,22756.07,16327511.05,20260916,
307000051388,14854129.08,0.00,0.00,1450625.90,-3938.84,16304754.98,20260915,
307000051388,14450431.12,0.00,0.00,1607262.70,-37033.70,16308693.82,20260914,
307000051388,12819762.62,0.00,170000.00,3525964.90,-45562.92,16345727.52,20260911,
307000051388,11000641.04,0.00,33000000.00,4850649.40,-88213.89,16561290.44,20260910,
307000051388,39829683.73,0.00,0.00,9819820.60,-6745.67,49649504.33,20260909,
307000051388,38300926.60,0.00,0.00,9796323.40,-17800.87,49656250.00,20260908,
307000051388,45636192.27,0.00,0.00,4037858.60,39698.63,49674050.87,20260907,
307000051388,45668065.74,0.00,0.00,3966286.50,-31892.26,49634352.24,20260904,
307000051388,45661132.30,0.00,0.00,4005112.20,6534.41,49666244.50,20260903,
307000051388,45735281.59,0.00,0.00,3924428.50,-72845.62,49659710.09,20260902,
307000051388,45773618.71,0.00,0.00,3958937.00,-43407.03,49732555.71,20260901,
307000051388,45826336.54,0.00,0.00,3949626.20,-172591.15,49775962.74,20260831,
307000051388,33027022.09,0.00,0.00,16921531.80,-76329.95,49948553.89,20260828,
307000051388,36757474.14,0.00,0.00,13267409.70,211336.26,50024883.84,20260827,
307000051388,47819028.88,0.00,0.00,1994518.70,18783.03,49813547.58,20260826,
307000051388,47817316.65,0.00,0.00,1977447.90,-2720.61,49794764.55,20260825,
307000051388,47851437.66,0.00,0.00,1946047.50,-34030.94,49797485.16,20260824,
307000051388,47834413.80,0.00,0.00,1997102.30,7555.10,49831516.10,20260821,
307000051388,45174460.80,0.00,0.00,4649500.20,77523.67,49823961.00,20260820,
307000051388,35300977.03,0.00,0.00,12620460.30,-568624.85,49746437.33,20260819,
307000051388,36000656.48,0.00,0.00,12720405.70,-29986.07,50315062.18,20260818,
307000051388,36000749.55,0.00,0.00,13035298.70,271427.65,50345048.25,20260817,
307000051388,40700829.20,0.00,0.00,8324791.40,75952.73,50073620.60,20260814,
307000051388,40600698.87,0.00,0.00,8143969.00,-103096.43,49997667.87,20260813,
307000051388,41776255.30,0.00,0.00,8324509.00,93531.43,50100764.30,20260812,
307000051388,37374578.67,0.00,0.00,12632654.20,-101010.23,50007232.87,20260811,
307000051388,41858797.90,0.00,0.00,8249445.20,14305.20,50108243.10,20260810,
307000051388,41940076.10,0.00,0.00,8153861.80,168165.27,50093937.90,20260807,
307000051388,41654256.73,0.00,0.00,8271515.90,20593.20,49925772.63,20260806,
307000051388,41449439.43,0.00,0.00,8455740.00,207619.48,49905179.43,20260805,
307000051388,44036949.95,0.00,0.00,5660610.00,160548.30,49697559.95,20260804,
307000051388,44101524.85,0.00,0.00,5435486.80,-106123.92,49537011.65,20260803,
307000051388,35326593.77,0.00,0.00,14316541.80,64889.45,49643135.57,20260731,
307000051388,43701602.42,0.00,0.00,5876643.70,-165797.25,49578246.12,20260730,
307000051388,345.47,0.00,0.00,6224697.90,43985.24,49744043.37,20260729,
307000051388,40370.73,0.00,0.00,7906687.40,-319156.20,49700058.13,20260728,
307000051388,44347557.23,49964482.45,0.00,5671657.10,54731.88,50019214.33,20260727,
307000051388,0.00,0.00,0.00,0.00,0.00,0.00,20260724,
